Comment ID,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
132216795,"If you know your fav does not have a chance to win the money, keep voting money and gift the person the money.",Voting/prize-money strategy (“the money”),Neutral (132216795),The emotion expressed in this comment is neutrality and pragmatic advice. (132216795),Pragmatic (132216795),1 (132216795),Voting advice to support favorite (132216795),2 (132216795),- (132216795),- (132216795),0 (132216795),- (132216795),- (132216795),- (132216795),- (132216795),3 (132216795),3 (132216795),0 (132216795),- (132216795),- (132216795),0 (132216795),- (132216795),10 (132216795),10 (132216795),0 (132216795),– (132216795),0 (132216795),– (132216795),0 (132216795),– (132216795),0 (132216795),– (132216795),1 (132216795),Advocates continued voting even if favorite can’t win (132216795),0 (132216795),– (132216795),0 (132216795),,,,,,,,,
132116735,"Why does Anita keeps talking about her ""career in healthcare ""? Career in Healthcare is hardly a career as every career has a name. Are you a doctor, nurse, radiographer, health information, pharmacist, dietitian, physiotherapist, anatomist, etc? You talk about being known for something and yet never mention what it is that you do. Its befuddling.",Housemate personality evaluation (boring/strong/weak),Neutral (132116735),The emotion expressed in this comment is confusion and mild frustration. (132116735),Critical (132116735),1 (132116735),Critique of housemate’s career claims (132116735),3 (132116735),- (132116735),Dismissal of vague or unclear career claims (132116735),0 (132116735),- (132116735),- (132116735),- (132116735),- (132116735),3 (132116735),3 (132116735),0 (132116735),- (132116735),- (132116735),0 (132116735),- (132116735),10 (132116735),10 (132116735),0 (132116735),– (132116735),0 (132116735),– (132116735),0 (132116735),– (132116735),0 (132116735),– (132116735),0 (132116735),– (132116735),0 (132116735),– (132116735),0 (132116735),,,,,,,,,
131812528,"I think that if any of the twin sets or of kos Chinwe were present during that argument about who should get the money, they would have caught on about them being married. “Kassia’s money na her money, but my own ne our own” But nobody there gorrit Lol",Marriage/Loyalty/Boundaries,Neutral (131812528),The emotion expressed in this comment is neutrality and inference. (131812528),Observational (131812528),1 (131812528),Marriage clue discussion in house dialogue (131812528),2 (131812528),- (131812528),- (131812528),0 (131812528),- (131812528),- (131812528),- (131812528),- (131812528),3 (131812528),3 (131812528),0 (131812528),- (131812528),- (131812528),0 (131812528),- (131812528),10 (131812528),10 (131812528),0 (131812528),– (131812528),0 (131812528),– (131812528),0 (131812528),– (131812528),0 (131812528),– (131812528),0 (131812528),– (131812528),0 (131812528),– (131812528),0 (131812528),,,,,,,,,
131907142,"Onyeka obviously dates mostly married men. She has a thing for men in relationships and is one of those deluded side chics that believe that their married lover loves them more than their wives, which is her primary sexual fantasy",Sexual allegations & slut-shaming,Negative (131907142),The emotion expressed in this comment is accusation and moral judgment. (131907142),Accusatory (131907142),1 (131907142),Accusations about Onyeka’s dating pattern (131907142),3 (131907142),- (131907142),Accusations of promiscuity and moral corruption (131907142),1 (131907142),6 (131907142),Stereotyping women as manipulative side-chicks (131907142),3 (131907142),3 (131907142),1 (131907142),1 (131907142),0 (131907142),- (131907142),- (131907142),1 (131907142),deluded side chics (131907142),3 (131907142),3 (131907142),0 (131907142),– (131907142),0 (131907142),– (131907142),0 (131907142),– (131907142),0 (131907142),– (131907142),0 (131907142),– (131907142),0 (131907142),– (131907142),0 (131907142),,,,,,,,,
132063574,No single housemate this year deserves the money. Make Big Brother kukuma just donate the money to TJ jor. At least he go use the money open one small clinic for him village.,Voting/prize-money strategy (“the money”),Neutral (132063574),The emotion expressed in this comment is neutrality and indifference. (132063574),Dismissive (132063574),1 (132063574),Suggestion to donate prize money (132063574),2 (132063574),- (132063574),- (132063574),0 (132063574),- (132063574),- (132063574),- (132063574),- (132063574),3 (132063574),3 (132063574),0 (132063574),- (132063574),- (132063574),0 (132063574),- (132063574),10 (132063574),10 (132063574),0 (132063574),– (132063574),0 (132063574),– (132063574),0 (132063574),– (132063574),0 (132063574),– (132063574),1 (132063574),Advocates donating prize money instead of awarding winner (132063574),0 (132063574),– (132063574),0 (132063574),,,,,,,,,
131561771,"people that are usually loud , these twins are very quiet for the kind of allegations Ruthie is leveling against them on national television! ""Come bitch come bitch. Go meet her na. She don finish una, na come bitch una fit say. Go face her, say something.  Ruthie win this one."" Ruthie: ""I never even use my abido-shaker 💅"" Guys... its official, Our Ruthie is trending on twitter ha ha ha ha ha ha ha ha (in Remas voice) https://x.com/Mandisa77/status/1824966532037775609",Fights/conflict/insults in-house,Positive (131561771),The emotion expressed in this comment is amusement and celebratory mockery. (131561771),Celebratory (131561771),1 (131561771),Trending BBNaija confrontation on Twitter (131561771),2 (131561771),- (131561771),- (131561771),0 (131561771),- (131561771),- (131561771),- (131561771),- (131561771),3 (131561771),3 (131561771),0 (131561771),- (131561771),- (131561771),0 (131561771),- (131561771),9 (131561771),9 (131561771),0 (131561771),– (131561771),1 (131561771),Reinforced belief that outspoken female contestants often dominate confrontations (131561771),0 (131561771),– (131561771),1 (131561771),References a trending Twitter/X post and quotes dialogue from it (131561771),1 (131561771),Advocates celebrating Ruthie’s confrontation / dominance (131561771),0 (131561771),– (131561771),0 (131561771),,,,,,,,,
132005009,"thank God useless tropher is angry at his everlasting losing sponsored tasks and wount follow anita's nyash for party tonight, make the small nyash rest small",Sexual allegations & slut-shaming,Negative (132005009),The emotion expressed in this comment is anger and insult-driven frustration. (132005009),Mocking (132005009),1 (132005009),Insult toward housemate performance in tasks (132005009),3 (132005009),- (132005009),Sexual objectification and crude commentary (132005009),0 (132005009),- (132005009),- (132005009),- (132005009),- (132005009),3 (132005009),3 (132005009),0 (132005009),- (132005009),- (132005009),1 (132005009),useless tropher (132005009),1 (132005009),1 (132005009),0 (132005009),– (132005009),1 (131816847),Reinforced belief that historical gender win patterns are skewed toward men (131816847),0 (132005009),– (132005009),0 (132005009),– (132005009),0 (132005009),– (132005009),0 (132005009),– (132005009),0 (132005009),,,,,,,,,
131816847,No of men who have won bbnaija 4 Efe 2017 Miracle 2018 laycon 2020 whitemoney 2021 No of women who have won bbnaija 3 Mercy in place of Tacha 2019. Phyna 2022 ilebaye 2023 Men leading 4 to 3 It's not even equal like 4/4 or women wining more at 6/4 So why did discussions about women winning this season lead to nonsense misogynistic comments about women winning bbnaija How can men be leading 4 to 3 and Then the people that want another man to win so it'll men leading at 5 to 3 wins are here being misogynistic under the pretence that men are being shortchanged when it comes to winning bbnaija? What kind of reverse psychology is that? The comment about bbnaija being a privately owned program still applies here. If you don't like anything. Don't watch. One thing I'm grateful for bbnaija voting is People are voting for who they want without prejudice Trying to skew votes along tribal or misogyny lines is tiring and I'm glad that's never been a reason for choosing a winner.,Gender norms/misogyny/“women vs men” discourse,Neutral (131816847),The emotion expressed in this comment is neutrality and statistical observation. (131816847),Analytical (131816847),1 (131816847),Statistics on BBNaija male vs female winners (131816847),2 (131816847),- (131816847),- (131816847),0 (131816847),- (131816847),- (131816847),- (131816847),- (131816847),3 (131816847),3 (131816847),0 (131816847),- (131816847),- (131816847),0 (131816847),- (131816847),9 (131816847),9 (131816847),0 (131816847),– (131816847),0 (131912692),– (131912692),0 (131816847),– (131816847),1 (131816847),Provides statistics on number of male vs female BBNaija winners by year (131816847),1 (131816847),Advocates gender-equality awareness in BBNaija wins (131816847),0 (131816847),– (131816847),0 (131816847),,,,,,,,,
131912692,"Ben is a big, fat fool. By now he should know that Chizoba is only tolerating him and doesn't like him. She only wants one of those twins. Why can't he read between the lines and leave her alone. I hate seeing men behave like idiots.",Appearance/beauty/age/body-shaming,Negative (131912692),The emotion expressed in this comment is anger and impatience. (131912692),Insulting (131912692),1 (131912692),Criticism of male housemate Ben (131912692),3 (131912692),- (131912692),Ridicule of male behavior and perceived stupidity (131912692),1 (131912692),7 (131912692),Male entitlement and hostility toward women’s autonomy (131912692),3 (131912692),3 (131912692),2 (131912692),1 (131912692),0 (131912692),- (131912692),- (131912692),1 (131912692),"big, fat fool (131912692)",2 (131912692),2 (131912692),0 (131912692),– (131912692),0 (131394470),– (131394470),0 (131912692),– (131912692),0 (131912692),– (131912692),0 (131912692),– (131912692),0 (131912692),– (131912692),0 (131912692),,,,,,,,,
131394470,"Men and brethren did this conversation happen? https://x.com/ChimmieeHQ/status/1821352022450241619?t=R4yGxmPmiiPeW98UuaknDQ&s=19 Clemet1111, Did this actually happened cos right now I'm literally flying to go vote for Shaun My akpa Amu is about to burst with happiness!! Now this is the Shameless ashawo man I Stan Shaun to the world!!",Shipping/romance dynamics,Positive (131394470),The emotion expressed in this comment is excitement and anticipation. (131394470),Excited (131394470),1 (131394470),Reference to viral BBNaija clip (131394470),2 (131394470),- (131394470),- (131394470),0 (131394470),- (131394470),- (131394470),- (131394470),- (131394470),3 (131394470),3 (131394470),0 (131394470),- (131394470),- (131394470),0 (131394470),- (131394470),10 (131394470),10 (131394470),0 (131394470),– (131394470),0 (131808052),– (131808052),0 (131394470),– (131394470),1 (131394470),Shares a link to an external video/post claiming a conversation occurred (131394470),1 (131394470),Advocates voting for Shaun based on alleged interaction (131394470),0 (131394470),– (131394470),1 (131394470),,,,,,,,,
131808052,"I still don’t see how this unpairing changes anything. These people are here on vacation. They will simply agree to share the money if one of their pairs wins. Besides, these people no really come win money. Na enjoyment, task money and fans dem come find. So the borefest continues.",Meta commentary on show format/production,Neutral (131808052),The emotion expressed in this comment is neutrality and resignation. (131808052),Dismissive (131808052),1 (131808052),Unpairing twist in BBNaija game (131808052),2 (131808052),- (131808052),- (131808052),0 (131808052),- (131808052),- (131808052),- (131808052),- (131808052),3 (131808052),3 (131808052),0 (131808052),- (131808052),- (131808052),0 (131808052),- (131808052),10 (131808052),10 (131808052),0 (131808052),– (131808052),0 (131615595),– (131615595),0 (131808052),– (131808052),0 (131808052),– (131808052),0 (131808052),– (131808052),0 (131808052),– (131808052),0 (131808052),,,,,,,,,
131615595,"Give women and inch and they will take a mile. You go Dey trust woman with other men especially when you’ve been caught cheating. I think those two are in an open marriage though, no married woman in the name of game would easily grind on another man or suck on the nipple of another man. No sane man either will ask his wife to play with other men just for game, that’s their reality. Me sef go try enter her once dem comot,since she’s for the streets.",Gender norms/misogyny/“women vs men” discourse,Negative (131615595),The emotion expressed in this comment is resentment and distrust. (131615595),Misogynistic (131615595),1 (131615595),Critique of open marriage perception (131615595),3 (131615595),- (131615595),Distrust of women and condemnation of perceived immorality (131615595),1 (131615595),6 (131615595),Distrust of women and justification of male control (131615595),3 (131615595),3 (131615595),1 (131615595),1 (131615595),0 (131615595),- (131615595),- (131615595),1 (131615595),since she’s for the streets (131615595),2 (131615595),2 (131615595),0 (131615595),– (131615595),0 (131597971),– (131597971),0 (131615595),– (131615595),0 (131615595),– (131615595),1 (131615595),Advocates distrust of women interacting with men / moral caution (131615595),0 (131615595),– (131615595),0 (131615595),,,,,,,,,
131597971,"Those of you voting for ""the money is married"" are in for a long thing. If they win, the husband will sideline his wife and discard her like a piece of trash. I was forced to watch their kissing scene, and there was no chemistry between them at all. The dude was just pressing her small ass like a toy.",Marriage/Loyalty/Boundaries,Negative (131597971),The emotion expressed in this comment is bitterness and disapproval. (131597971),Bitter (131597971),1 (131597971),Reaction to kissing scene on BBNaija (131597971),3 (131597971),- (131597971),Claim that marriage dynamic lacks chemistry and respect (131597971),1 (131597971),4 (131597971),Marriage as male-dominated power structure (131597971),3 (131597971),3 (131597971),1 (131597971),1 (131597971),0 (131597971),- (131597971),- (131597971),1 (131597971),discard her like a piece of trash (131597971),3 (131597971),3 (131597971),0 (131597971),– (131597971),0 (131245822),– (131245822),0 (131597971),– (131597971),0 (131597971),– (131597971),1 (131597971),Advocates criticism of marriage-based fan support (131597971),0 (131597971),– (131597971),0 (131597971),,,,,,,,,
131245822,Floruish likes zinwe. They are their main paddies in the house. Dj flo partner also like mayor and doctor Doctor compliments her a lot. Dj flo also likes double Kay wife Abi husband I don forget.,Shipping/romance dynamics,Neutral (131245822),The emotion expressed in this comment is neutrality and gossip-style observation. (131245822),Informal (131245822),1 (131245822),Housemate alliance gossip (131245822),2 (131245822),- (131245822),- (131245822),0 (131245822),- (131245822),- (131245822),- (131245822),- (131245822),3 (131245822),3 (131245822),0 (131245822),- (131245822),- (131245822),0 (131245822),- (131245822),10 (131245822),10 (131245822),0 (131245822),– (131245822),0 (131807595),– (131807595),0 (131245822),– (131245822),0 (131245822),– (131245822),0 (131245822),– (131245822),0 (131245822),– (131245822),0 (131245822),,,,,,,,,
131807595,"All the paired HMs without a following of their own will  struggle here, the money is married crew and the money is classless/razz crew we await where all of una go align.....",Voting/prize-money strategy (“the money”),Neutral (131807595),The emotion expressed in this comment is neutrality and strategic commentary. (131807595),Pessimistic (131807595),1 (131807595),Assessment of paired housemates’ popularity (131807595),2 (131807595),- (131807595),- (131807595),0 (131807595),- (131807595),- (131807595),- (131807595),- (131807595),3 (131807595),3 (131807595),0 (131807595),- (131807595),- (131807595),0 (131807595),- (131807595),10 (131807595),10 (131807595),0 (131807595),– (131807595),0 (132135855),– (132135855),0 (131807595),– (131807595),0 (131807595),– (131807595),1 (131807595),Advocates strategic alignment among weak pairs (131807595),0 (131807595),– (131807595),0 (131807595),,,,,,,,,
132135855,Kelly rae There is nothing like you should reciprocate There's no reciprocation you're just nominating Onyeka because you're pained your wife went to fight battle where it looked like she won Only to lose the war later. 😁 No be Onyeka fault your wife no fit answer question and her fans couldn't stomach the disgrace They went to bully Ebuka and got strike for her 😁 It's not onyeka's fault there. Na your wife wey no fit win battle wey she start,Fights/conflict/insults in-house,Negative (132135855),The emotion expressed in this comment is anger and blame. (132135855),Critical (132135855),1 (132135855),Nomination decision criticism (132135855),3 (132135855),- (132135855),Blame toward husband for retaliatory nominations (132135855),1 (132135855),7 (132135855),Male retaliation framed as justified leadership (132135855),3 (132135855),3 (132135855),1 (132135855),1 (132135855),0 (132135855),- (132135855),- (132135855),1 (132135855),your wife no fit win battle (132135855),2 (132135855),2 (132135855),0 (132135855),– (132135855),0 (131995603),– (131995603),0 (132135855),– (132135855),0 (132135855),– (132135855),0 (132135855),– (132135855),0 (132135855),– (132135855),0 (132135855),,,,,,,,,
131995603,Tjay lower your voice in this conversation before feminists will vex 😁 😁 😁 In a conversation with the female twins he said he admires how wanni takes care of geezeems boy.He said men like women that take care of their baby side.That men like women who pampers them alot.That even if their is a problem that the man will reconsider the relationship when he remembers that the woman has been taking good care of him. So we can comfortably say that Shawn is going no where.He will surely stay put in that ship .,Gender norms/misogyny/“women vs men” discourse,Neutral (131995603),The emotion expressed in this comment is amusement and provocation. (131995603),Playful (131995603),1 (131995603),Conversation about feminist reactions in BBNaija (131995603),2 (131995603),- (131995603),- (131995603),1 (131995603),4 (131995603),Masculinity threatened by feminist critique (131995603),4 (131995603),4 (131995603),2 (131995603),0 (131995603),0 (131995603),- (131995603),- (131995603),0 (131995603),- (131995603),10 (131995603),10 (131995603),0 (131995603),– (131995603),0 (131345151),– (131345151),0 (131995603),– (131995603),0 (131995603),– (131995603),1 (131995603),Advocates Shawn staying in relationship dynamic (131995603),0 (131995603),– (131995603),0 (131995603),,,,,,,,,
131345151,"The baby's must really think their ship is giving people content out here, lol, as for DJ Flo that people only recognize because of her stupid hats, they are busy talking who is strong and who is weak, because they survived week 1. Let Sunday come around we go see something",Housemate personality evaluation (boring/strong/weak),Negative (131345151),The emotion expressed in this comment is boredom and dismissiveness. (131345151),Dismissive (131345151),1 (131345151),Housemate popularity skepticism (131345151),3 (131345151),- (131345151),Dismissal of perceived delusion and overconfidence of ships (131345151),0 (131345151),- (131345151),- (131345151),- (131345151),- (131345151),3 (131345151),3 (131345151),0 (131345151),- (131345151),- (131345151),1 (131345151),stupid hats (131345151),1 (131345151),1 (131345151),0 (131345151),– (131345151),1 (132207176),Reinforced belief that assertive masculinity is expected in confrontational situations (132207176),0 (131345151),– (131345151),0 (131345151),– (131345151),0 (131345151),– (131345151),0 (131345151),– (131345151),0 (131345151),,,,,,,,,
132207176,"No Alpha male would have tolerated what the 3 witches did last night! especially when they were also being physical I mean the likes of Kidd, Adekunle, Pere , Boma, Teddy A, Seyi, Omashola would definitely act U can never bully these men lol",Gender norms/misogyny/“women vs men” discourse,Negative (132207176),The emotion expressed in this comment is anger and dominance assertion. (132207176),Aggressive (132207176),1 (132207176),Comparison with past BBNaija alpha males (132207176),3 (132207176),- (132207176),Aggression framed as acceptable masculinity; condemnation of “weak” men (132207176),1 (132207176),8 (132207176),Glorification of aggressive masculinity and dominance (132207176),3 (132207176),3 (132207176),1 (132207176),1 (132207176),0 (132207176),- (132207176),- (132207176),0 (132207176),- (132207176),2 (132207176),2 (132207176),0 (132207176),– (132207176),0 (131821582),– (131821582),0 (132207176),– (132207176),0 (132207176),– (132207176),1 (132207176),Advocates assertive male dominance against bullying (132207176),0 (132207176),– (132207176),0 (132207176),,,,,,,,,
131821582,"Why am I not liking this “urge” from handlers on which pair to vote for? I understand the strategy behind what they are doing BUT I keep thinking it is not fair on either Handi or Kassia in my opinion. I am sure they also want to win and there is no 100% guarantee that if their partners win, they will get half of the winnings…. I am especially bothered about the doubleK one.  From being the stronger one in the pair, Kassia has suddenly been relegated after working so much harder than her husband for the money.  All of a sudden, “my money is our money and kassia’s money is her money” WxH own is even more subtle.  Yeah Wanni is the one with boyfriend but Handi has been an equally heavy hitter in that twin dynamic.  Is it easy to be the “hanger on” in a trouple? Hmmm, i hope there wont be drama “after”biggie’s house but if there is, we are here to watch 😁 Please nobody should come for me oh.. my brain is having heddik 👅",Voting/prize-money strategy (“the money”),Neutral (131821582),The emotion expressed in this comment is concern and fairness anxiety. (131821582),Concerned (131821582),1 (131821582),Handlers influencing voting strategy (131821582),4 (131821582),- (131821582),- (131821582),1 (131821582),4 (131821582),Gendered fairness in competition and voting (131821582),4 (131821582),4 (131821582),1 (131821582),0 (131821582),0 (131821582),- (131821582),- (131821582),0 (131821582),- (131821582),10 (131821582),10 (131821582),0 (131821582),– (131821582),0 (131425520),– (131425520),0 (131821582),– (131821582),0 (131821582),– (131821582),1 (131821582),Advocates fairness toward female partners in voting strategy (131821582),0 (131821582),– (131821582),0 (131821582),,,,,,,,,
131425520,"It was as if Tobi heard my plee to slow down with making moves on Kassia… If truly the money is married, DoubleK will need to bring it. But for now, that money is as single as a nun…",Shipping/romance dynamics,Neutral (131425520),The emotion expressed in this comment is neutrality and cautious hope. (131425520),Hopeful (131425520),1 (131425520),Romantic tension involving Kassia (131425520),2 (131425520),- (131425520),- (131425520),0 (131425520),- (131425520),- (131425520),- (131425520),- (131425520),3 (131425520),3 (131425520),0 (131425520),- (131425520),- (131425520),0 (131425520),- (131425520),10 (131425520),10 (131425520),0 (131425520),– (131425520),1 (131292959),Reinforced belief that participation in the show can strain real-life marriages (131292959),0 (131425520),– (131425520),0 (131425520),– (131425520),0 (131425520),– (131425520),0 (131425520),– (131425520),0 (131425520),,,,,,,,,
131292959,Well said. The marriage is on the line. That's why Ebuka wished them luck with their marriage before they stepped in to the house. Ebuka also asked the husband what he was thinking for accepting to be in the show with his wife. The marriage will not remain the same again if they last long enough in the house.,Marriage/Loyalty/Boundaries,Negative (131292959),The emotion expressed in this comment is anxiety and apprehension. (131292959),Cautionary (131292959),1 (131292959),Marriage risk due to BBNaija participation (131292959),3 (131292959),- (131292959),Fear that participation will damage marriage (131292959),1 (131292959),4 (131292959),Marriage risk and emotional burden placed on women (131292959),3 (131292959),3 (131292959),1 (131292959),1 (131292959),0 (131292959),- (131292959),- (131292959),0 (131292959),- (131292959),9 (131292959),9 (131292959),0 (131292959),– (131292959),0 (131276074),– (131276074),0 (131292959),– (131292959),0 (131292959),– (131292959),1 (131292959),Advocates concern for marriage stability on the show (131292959),0 (131292959),– (131292959),0 (131292959),,,,,,,,,
131276074,First pool party where the men are more covered up than the girls Radicals and Baby aka Zion thank you for showing me flesh abeg Boma you missed abeg Na men con dey shy pass woman,Gender norms/misogyny/“women vs men” discourse,Neutral (131276074),The emotion expressed in this comment is neutrality and visual observation. (131276074),Lighthearted (131276074),1 (131276074),Pool party clothing comparison (131276074),2 (131276074),- (131276074),- (131276074),1 (131276074),7 (131276074),Male modesty versus female exposure norms (131276074),2 (131276074),2 (131276074),1 (131276074),0 (131276074),0 (131276074),- (131276074),- (131276074),0 (131276074),- (131276074),10 (131276074),10 (131276074),0 (131276074),– (131276074),0 (131275885),– (131275885),0 (131276074),– (131276074),0 (131276074),– (131276074),0 (131276074),– (131276074),0 (131276074),– (131276074),0 (131276074),,,,,,,,,
131275885,One day big brother will do me a favor and ban the men from wearing this singlet all the time. Monday to Thursday they wear Pool party they wear it Abi big brother naija don get uniform for men?,Meta commentary on show format/production,Neutral (131275885),The emotion expressed in this comment is mild irritation and humor. (131275885),Irritated (131275885),1 (131275885),BBNaija male outfit commentary (131275885),2 (131275885),- (131275885),- (131275885),0 (131275885),- (131275885),- (131275885),- (131275885),- (131275885),3 (131275885),3 (131275885),0 (131275885),- (131275885),- (131275885),0 (131275885),- (131275885),10 (131275885),10 (131275885),0 (131275885),– (131275885),0 (132227187),– (132227187),0 (131275885),– (131275885),0 (131275885),– (131275885),0 (131275885),– (131275885),0 (131275885),– (131275885),0 (131275885),,,,,,,,,
132227187,The money those Nelita babes sacrificed for this show might be more than half of the price money because their votes doesn't reflect on social media at all.... Even mbadiwes is also questionable.,Voting/prize-money strategy (“the money”),Negative (132227187),The emotion expressed in this comment is concern and skepticism. (132227187),Skeptical (132227187),1 (132227187),Questioning vote-value vs prize money (132227187),2 (132227187),- (132227187),- (132227187),0 (132227187),- (132227187),- (132227187),- (132227187),- (132227187),3 (132227187),3 (132227187),0 (132227187),- (132227187),- (132227187),0 (132227187),- (132227187),10 (132227187),10 (132227187),0 (132227187),– (132227187),1 (131592712),Reinforced belief that voting outcomes consistently favor dominant alliances (131592712),0 (132227187),– (132227187),0 (132227187),– (132227187),1 (132227187),Advocates questioning vote value and sacrifice of fans (132227187),0 (132227187),– (132227187),0 (132227187),,,,,,,,,
131592712,"Glad Radicals are safe for this week again Sorry Beta, this might be the end of the road for you. Chekas and Zinwe, it will be a tight battle. The battle of first and Second will be between “the money is Classless and “the money is married”.",Voting/prize-money strategy (“the money”),Neutral (131592712),The emotion expressed in this comment is cautious optimism. (131592712),Optimistic (131592712),1 (131592712),Eviction outcome speculation (131592712),2 (131592712),- (131592712),- (131592712),0 (131592712),- (131592712),- (131592712),- (131592712),- (131592712),3 (131592712),3 (131592712),0 (131592712),- (131592712),- (131592712),0 (131592712),- (131592712),9 (131592712),9 (131592712),0 (131592712),– (131592712),0 (132210348),– (132210348),0 (131592712),– (131592712),0 (131592712),– (131592712),1 (131592712),Advocates Radicals’ survival and predicts finalists (131592712),0 (131592712),– (131592712),0 (131592712),,,,,,,,,
132210348,Abegi.. They are evictees that are likely to stay till finals..So whats d difference if Wanni make finals and Kellyrae win the money... Las las they all escorted Kellyrae to win d money,Voting/prize-money strategy (“the money”),Neutral (132210348),The emotion expressed in this comment is neutrality and acceptance. (132210348),Resigned (132210348),1 (132210348),Finale outcome strategy discussion (132210348),2 (132210348),- (132210348),- (132210348),0 (132210348),- (132210348),- (132210348),- (132210348),- (132210348),3 (132210348),3 (132210348),0 (132210348),- (132210348),- (132210348),0 (132210348),- (132210348),10 (132210348),10 (132210348),0 (132210348),– (132210348),0 (131601330),– (131601330),0 (132210348),– (132210348),0 (132210348),– (132210348),1 (132210348),Advocates inevitability of Kellyrae winning money (132210348),0 (132210348),– (132210348),0 (132210348),,,,,,,,,
131601330,"Cho cho cho go and divorce her for him na, at your big age they forced you to watch two people kissing and you came up with this yeye conclusion. The money is still married, if they divorce the money will be divorced.",Marriage/Loyalty/Boundaries,Negative (131601330),The emotion expressed in this comment is anger and mockery. (131601330),Defiant (131601330),1 (131601330),Marriage/divorce metaphor for BBNaija prize (131601330),2 (131601330),- (131601330),- (131601330),0 (131601330),- (131601330),- (131601330),- (131601330),- (131601330),3 (131601330),3 (131601330),0 (131601330),- (131601330),- (131601330),0 (131601330),- (131601330),1 (131601330),1 (131601330),0 (131601330),– (131601330),1 (131592381),Reinforced belief that strategic manipulation is central to long-term survival in the house (131592381),0 (131601330),– (131601330),0 (131601330),– (131601330),1 (131601330),Advocates dismissing divorce speculation (131601330),0 (131601330),– (131601330),0 (131601330),,,,,,,,,
131592381,"They will come outside to realise it, they are no one friends, but I really like their game that's how to play the game use people to do your dirty job..... If they can continue escaping their game play should give them a definite shot at the money.....",Voting/prize-money strategy (“the money”),Positive (131592381),The emotion expressed in this comment is approval and strategic admiration. (131592381),Strategic (131592381),1 (131592381),Gameplay manipulation discussion (131592381),2 (131592381),- (131592381),- (131592381),0 (131592381),- (131592381),- (131592381),- (131592381),- (131592381),3 (131592381),3 (131592381),0 (131592381),- (131592381),- (131592381),0 (131592381),- (131592381),9 (131592381),9 (131592381),0 (131592381),– (131592381),0 (131510240),– (131510240),0 (131592381),– (131592381),0 (131592381),– (131592381),1 (131592381),Advocates manipulative gameplay as valid strategy (131592381),0 (131592381),– (131592381),0 (131592381),,,,,,,,,
